"","nombres","veces","abstenciones","veces_tot"
"4","Abarca, Damaris","1549",37,1586
"5","Abarca, Jorge","1350",116,1466
"6","Achurra, Ignacio","1576",33,1609
"7","Aguilera, Tiare","1412",61,1473
"8","Alvarado, Gloria","1471",8,1479
"9","Alvarez, Julio","1489",37,1526
"10","Alvarez, Rodrigo","859",70,929
"11","Alvez, Amaya","1545",42,1587
"12","Ampuero, Adriana","1370",16,1386
"13","Andrade, Cristóbal","1379",0,1379
"14","Antilef, Victorino","1315",5,1320
"15","Arancibia, Jorge","900",36,936
"16","Arauna, Francisca","1386",15,1401
"17","Arellano, Marco","1398",1,1399
"18","Arrau, Martín","883",41,924
"19","Atria, Fernando","1549",60,1609
"20","Bacian, Wilfredo","1362",9,1371
"21","Baradit, Jorge","1526",19,1545
"22","Baranda, Benito","1390",54,1444
"23","Barceló, Luis","1264",31,1295
"24","Barraza, Marcos","1399",9,1408
"25","Bassa, Jaime","1536",79,1615
"26","Botto, Miguel Ángel","1084",96,1180
"27","Bown, Carol","901",60,961
"28","Bravo, Daniel","1459",4,1463
"29","Caamaño, Francisco","1340",27,1367
"30","Caiguan, Alexis","1372",3,1375
"31","Calvo, Carlos","1473",7,1480
"32","Cancino, Adriana","1474",14,1488
"33","Cantuarias, Rocío","818",98,916
"34","Carrillo, Alondra","1385",10,1395
"35","Castillo, Eduardo","1327",69,1396
"36","Castillo, María Trinidad","1411",15,1426
"37","Castro, Claudia","917",47,964
"38","Catrileo, Rosa","1316",68,1384
"39","Celedón, Roberto","1246",91,1337
"40","Celis, Raúl","893",145,1038
"41","Céspedes, Lorena","1273",150,1423
"42","Chahín, Fuad","1118",128,1246
"43","Chinga, Eric","1301",21,1322
"44","Cozzi, Ruggero","901",96,997
"45","Cretton, Eduardo","909",47,956
"46","Cruz, Andrés","1462",0,1462
"47","Cubillos, Marcela","853",69,922
"48","Daza, Mauricio","1267",166,1433
"49","De la Maza, Bernardo","992",95,1087
"50","Delgado, Aurora","1571",33,1604
"51","Domínguez, Gaspar","1315",83,1398
"52","Dorador, Cristina","1462",3,1465
"53","Fernández, Patricio","1496",76,1572
"54","Flores, Alejandra","1466",11,1477
"55","Fontaine, Bernardo","905",72,977
"56","Fuchslocher, Javier","1262",139,1401
"57","Gallardo, Bessy","1183",27,1210
"58","Galleguillos, Félix","1348",61,1409
"59","Garín, Renato","1309",1,1310
"60","Giustinianovich, Elisa","1470",8,1478
"61","Godoy, Isabel","1259",11,1270
"62","Gómez, Claudio","1440",17,1457
"63","Gómez, Yarela","1483",56,1539
"64","González, Dayyana","1335",3,1338
"65","González, Lidia","1128",35,1163
"66","Grandón, Giovanna","1302",8,1310
"67","Grandón, Paola","1290",26,1316
"68","Gutiérrez, Hugo","1310",8,1318
"69","Harboe, Felipe","1156",51,1207
"70","Henríquez, Natalia","1386",22,1408
"71","Hoppe, Vanessa","1436",4,1440
"72","Hube, Constanza","817",92,909
"73","Hurtado, Maximiliano","1528",46,1574
"74","Hurtado, Ruth","863",64,927
"75","Jiménez, Luis","1285",75,1360
"76","Jofré, Alvaro","887",107,994
"77","Jurgensen, Harry","851",83,934
"78","Labbé, Bastián","1448",1,1449
"79","Labra, Patricia","848",109,957
"80","Labraña, Elsa","1272",10,1282
"81","Laibe, Tomás","1469",79,1548
"82","Larraín, Hernán","929",110,1039
"83","Letelier, Margarita","869",53,922
"84","Linconao, Francisca","1148",12,1160
"85","Llanquileo, Natividad","1283",5,1288
"86","Logan, Rodrigo","1039",120,1159
"87","Loncon, Elisa","1376",55,1431
"88","Madriaga, Tania","1382",0,1382
"89","Mamani, Isabella","1339",75,1414
"90","Marinovic, Teresa","824",66,890
"91","Martin, Juan José","1294",118,1412
"92","Martínez, Helmuth","1250",130,1380
"93","Mayol, Luis","861",83,944
"94","Mella, Jeniffer","1483",51,1534
"95","Mena, Felipe","906",57,963
"96","Meneses, Janis","1504",1,1505
"97","Millabur, Adolfo","1390",68,1458
"98","Miranda, Valentina","1366",0,1366
"99","Monckeberg, Cristian","921",124,1045
"100","Montealegre, Katerine","815",87,902
"101","Montero, Ricardo","1583",41,1624
"102","Moreno, Alfredo","928",59,987
"103","Muñoz, Pedro","1452",50,1502
"104","Namor, Guillermo","1385",132,1517
"105","Navarrete, Geoconda","893",113,1006
"106","Neumann, Ricardo","897",84,981
"107","Núñez, Nicolás","1243",18,1261
"108","Olivares, Ivanna","1345",4,1349
"109","Orellana, Matías","1539",9,1548
"110","Ossandón, Manuel","906",114,1020
"111","Oyarzún, María José","1516",27,1543
"112","Pérez, Alejandra","1318",0,1318
"113","Pinto, Malucha","1451",33,1484
